GO:0060271 BP    29 D07  cilium assembly
GO:0001938 BP     2 D07  positive regulation of endothelial cell proliferation
GO:0060252 BP     2 D09  positive regulation of glial cell proliferation
GO:0045806 BP    14 D07  negative regulation of endocytosis
GO:0048488 BP    12 D07  synaptic vesicle endocytosis
GO:0035265 BP    68 D03  organ growth
GO:0060736 BP     6 D04  prostate gland growth
GO:0035264 BP     4 D03  multicellular organism growth
GO:0040018 BP     0 D06  positive regulation of multicellular organism growth
GO:0040015 BP     0 D06  negative regulation of multicellular organism growth
GO:0030036 BP   165 D06  actin cytoskeleton organization
GO:0007015 BP    80 D05  actin filament organization
GO:0051017 BP    17 D07  actin filament bundle assembly
GO:0007288 BP     0 D09  sperm axoneme assembly
GO:0097320 BP     3 D06  plasma membrane tubulation
GO:0042311 BP     9 D07  vasodilation
GO:0014824 BP     4 D09  artery smooth muscle contraction
GO:0043117 BP     3 D06  positive regulation of vascular permeability
GO:0098907 BP     0 D06  regulation of SA node cell action potential
GO:0010971 BP     1 D09  positive regulation of G2/M transition of mitotic cell cycle
GO:2000048 BP     0 D07  negative regulation of cell-cell adhesion mediated by cadherin
GO:0036114 BP     0 D13  medium-chain fatty-acyl-CoA catabolic process
GO:0036116 BP     0 D13  long-chain fatty-acyl-CoA catabolic process
GO:0043001 BP     8 D08  Golgi to plasma membrane protein transport
GO:0051930 BP     4 D07  regulation of sensory perception of pain
GO:0007601 BP     2 D06  visual perception
GO:1903392 BP     0 D06  negative regulation of adherens junction organization
GO:0030534 BP    11 D02  adult behavior
GO:0006418 BP    43 D10  tRNA aminoacylation for protein translation
GO:0006425 BP     1 D11  glutaminyl-tRNA aminoacylation
GO:0006364 BP    65 D09  rRNA processing
GO:0045047 BP    10 D08  protein targeting to ER
GO:0006614 BP     4 D10  SRP-dependent cotranslational protein targeting to membrane
GO:0030501 BP     1 D07  positive regulation of bone mineralization
GO:0098833 CC     6 D02  presynaptic endocytic zone
GO:0005902 CC     5 D05  microvillus
GO:0001726 CC     1 D04  ruffle
GO:0005923 CC     1 D06  bicellular tight junction
GO:0098684 CC     0 D05  photoreceptor ribbon synapse
GO:0032587 CC     0 D05  ruffle membrane
GO:0032991 CC  2098 D01  protein-containing complex
GO:0005667 CC    82 D02  transcription regulator complex
GO:0048500 CC     3 D03  signal recognition particle
GO:0017101 CC     0 D02  aminoacyl-tRNA synthetase multienzyme complex
GO:0005786 CC     0 D04  signal recognition particle, endoplasmic reticulum targeting
GO:0031410 CC   290 D06  cytoplasmic vesicle
GO:0005783 CC   106 D05  endoplasmic reticulum
GO:0030137 CC     7 D08  COPI-coated vesicle
GO:0032420 CC     6 D05  stereocilium
GO:0005730 CC    24 D05  nucleolus
GO:0016607 CC     1 D03  nuclear speck
GO:0005884 CC     4 D06  actin filament
GO:0005813 CC     4 D03  centrosome
GO:0045095 CC     0 D07  keratin filament
GO:0001725 CC     0 D04  stress fiber
GO:0005694 CC   192 D05  chromosome
GO:0031514 CC    31 D05  motile cilium
GO:0036064 CC     9 D03  ciliary basal body
GO:0034464 CC     0 D02  BBSome
GO:0016790 MF    41 D04  thiolester hydrolase activity
GO:0004623 MF     2 D06  phospholipase A2 activity
GO:0016290 MF     0 D07  palmitoyl-CoA hydrolase activity
GO:0043021 MF    14 D03  ribonucleoprotein complex binding
GO:0000062 MF     1 D09  fatty-acyl-CoA binding
GO:0046982 MF     0 D04  protein heterodimerization activity
GO:0030942 MF     0 D05  endoplasmic reticulum signal peptide binding
GO:0070700 MF     0 D06  BMP receptor binding
GO:0036042 MF     0 D10  long-chain fatty acyl-CoA binding
GO:0005230 MF    20 D08  extracellular ligand-gated ion channel activity
GO:0004888 MF   325 D03  transmembrane signaling receptor activity
GO:0004890 MF     0 D05  GABA-A receptor activity
GO:0004631 MF     0 D05  phosphomevalonate kinase activity
GO:0004819 MF     0 D05  glutamine-tRNA ligase activity
GO:0003755 MF     0 D04  peptidyl-prolyl cis-trans isomerase activity
GO:0005525 MF     0 D08  GTP binding
GO:0019003 MF     0 D08  GDP binding
GO:0008312 MF     0 D05  7S RNA binding
GO:0005543 MF    21 D03  phospholipid binding
GO:0004252 MF     0 D05  serine-type endopeptidase activity
GO:0008092 MF    53 D03  cytoskeletal protein binding
GO:0003779 MF     3 D04  actin binding
GO:0051015 MF     1 D05  actin filament binding
GO:0005198 MF    42 D01  structural molecule activity
GO:0001103 MF    16 D05  RNA polymerase II-specific DNA-binding transcription factor binding
GO:0008083 MF     0 D05  growth factor activity
GO:0035591 MF     5 D03  signaling adaptor activity
GO:0005068 MF     0 D08  transmembrane receptor protein tyrosine kinase adaptor activity
GO:0004860 MF     8 D03  protein kinase inhibitor activity
GO:0003924 MF     3 D07  GTPase activity
