  EXISTS: go-basic.obo
go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
  61 GO IDs READ: ff7genetogo.txt
  168 GO IDs READ: ff12genetogo.txt
  35 GO IDs READ: fm7genetogo.txt
  246 GO IDs READ: fm12genetogo.txt
 GoSubDag: 430 sources in 1781 GOs rcnt(True). 1 alt GO IDs
 GoSubDag: namedtuple fields: NS level depth reldepth GO alt GO_name dcnt D1 childcnt REL REL_short rel id
 GoSubDag: relationships: {'negatively_regulates', 'part_of', 'regulates', 'positively_regulates'}
  EXISTS: goslim_generic.obo
goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms
# ----------------------------------------------------------------
# - Description of GO ID fields
# ----------------------------------------------------------------
# Versions:
#    go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
#    goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms

# Marker keys:
#     X -> GO is present in ff7genetogo
#     X -> GO is present in ff12genetogo
#     X -> GO is present in fm7genetogo
#     X -> GO is present in fm12genetogo

# GO Namspaces:
#     BP -> Biological Process
#     MF -> Molecular Function
#     CC -> Cellular Component

# Depth information:
#     int -> number of GO descendants
#     Dnn -> depth (maximum distance from root to node)

SECTION: Misc.
...X GO:0060271 BP    29 D07  cilium assembly
..X. GO:0007259 BP    15 D07  receptor signaling pathway via JAK-STAT
.X.. GO:0038084 BP    12 D08  vascular endothelial growth factor signaling pathway
...X GO:0008286 BP    12 D08  insulin receptor signaling pathway
.X.. GO:0048010 BP     8 D08  vascular endothelial growth factor receptor signaling pathway
..X. GO:0040036 BP     8 D06  regulation of fibroblast growth factor receptor signaling pathway
...X GO:0043491 BP     3 D06  protein kinase B signaling
...X GO:0060395 BP     3 D05  SMAD protein signal transduction
..X. GO:0045879 BP     3 D07  negative regulation of smoothened signaling pathway
X... GO:0046628 BP     3 D07  positive regulation of insulin receptor signaling pathway
...X GO:0033210 BP     1 D07  leptin-mediated signaling pathway
...X GO:0060391 BP     0 D08  positive regulation of SMAD protein signal transduction
...X GO:0038108 BP     0 D10  negative regulation of appetite by leptin-mediated signaling pathway
.X.. GO:0045732 BP    18 D07  positive regulation of protein catabolic process
...X GO:0006955 BP   752 D02  immune response
...X GO:0050776 BP   455 D04  regulation of immune response
.X.. GO:0045619 BP    84 D07  regulation of lymphocyte differentiation
..XX GO:0030183 BP    47 D07  B cell differentiation
...X GO:0043367 BP    39 D09  CD4-positive, alpha-beta T cell differentiation
.X.. GO:0002761 BP    31 D07  regulation of myeloid leukocyte differentiation
...X GO:0030851 BP    18 D06  granulocyte differentiation
...X GO:0050851 BP    13 D09  antigen receptor-mediated signaling pathway
...X GO:0030225 BP     8 D06  macrophage differentiation
..X. GO:0002639 BP     7 D08  positive regulation of immunoglobulin production
.X.. GO:1901534 BP     5 D06  positive regulation of hematopoietic progenitor cell differentiation
...X GO:0048538 BP     3 D05  thymus development
...X GO:0002317 BP     3 D10  plasma cell differentiation
.X.. GO:0002829 BP     2 D06  negative regulation of type 2 immune response
...X GO:0048537 BP     2 D05  mucosa-associated lymphoid tissue development
...X GO:0048536 BP     1 D05  spleen development
...X GO:0048541 BP     1 D06  Peyer's patch development
...X GO:0048535 BP     0 D05  lymph node development
.X.. GO:1902038 BP     0 D07  positive regulation of hematopoietic stem cell differentiation
X... GO:0006974 BP   181 D04  cellular response to DNA damage stimulus
...X GO:0006954 BP   168 D04  inflammatory response
.X.. GO:0050728 BP    27 D07  negative regulation of inflammatory response
...X GO:0032873 BP     5 D09  negative regulation of stress-activated MAPK cascade
...X GO:0016567 BP    64 D09  protein ubiquitination
X... GO:0045860 BP    34 D10  positive regulation of protein kinase activity
...X GO:0006469 BP    20 D10  negative regulation of protein kinase activity
.X.. GO:0031398 BP    12 D10  positive regulation of protein ubiquitination
...X GO:0050731 BP     7 D10  positive regulation of peptidyl-tyrosine phosphorylation
...X GO:0010862 BP     0 D10  positive regulation of pathway-restricted SMAD protein phosphorylation
..X. GO:0042531 BP     0 D11  positive regulation of tyrosine phosphorylation of STAT protein
.X.. GO:0001541 BP    23 D04  ovarian follicle development
...X GO:0030539 BP     3 D05  male genitalia development
...X GO:0016042 BP   191 D04  lipid catabolic process
...X GO:0006644 BP   178 D05  phospholipid metabolic process
...X GO:0006641 BP    17 D07  triglyceride metabolic process
...X GO:0006695 BP     6 D07  cholesterol biosynthetic process
...X GO:0051792 BP     0 D09  medium-chain fatty acid biosynthetic process
.X.. GO:0006689 BP     0 D09  ganglioside catabolic process
...X GO:0032349 BP     0 D10  positive regulation of aldosterone biosynthetic process
...X GO:1900535 BP     0 D10  palmitic acid biosynthetic process
X... GO:0045737 BP     1 D12  positive regulation of cyclin-dependent protein serine/threonine kinase activity
.X.. GO:0009313 BP    42 D05  oligosaccharide catabolic process
X... GO:0019853 BP     4 D07  L-ascorbic acid biosynthetic process
.X.. GO:0055085 BP   747 D04  transmembrane transport
...X GO:0034220 BP   536 D05  ion transmembrane transport
.X.. GO:0071805 BP    42 D08  potassium ion transmembrane transport
.X.. GO:0035725 BP    30 D08  sodium ion transmembrane transport
.X.. GO:0098719 BP     3 D09  sodium ion import across plasma membrane
.X.. GO:1990573 BP     3 D09  potassium ion import across plasma membrane
.X.. GO:0016477 BP   521 D04  cell migration
...X GO:0050900 BP   158 D05  leukocyte migration
.X.. GO:0001764 BP    22 D05  neuron migration
.X.. GO:0021800 BP     8 D08  cerebral cortex tangential migration
.X.. GO:0021831 BP     2 D09  embryonic olfactory bulb interneuron precursor migration
...X GO:0060296 BP     1 D08  regulation of cilium beat frequency involved in ciliary motility
.X.. GO:0021853 BP     0 D10  cerebral cortex GABAergic interneuron migration
...X GO:0007214 BP     1 D04  gamma-aminobutyric acid signaling pathway
X... GO:0007140 BP    12 D08  male meiotic nuclear division
.X.. GO:0008354 BP     3 D05  germ cell migration
...X GO:0031666 BP     0 D07  positive regulation of lipopolysaccharide-mediated signaling pathway
...X GO:0048568 BP   137 D04  embryonic organ development
XX.X GO:0001701 BP    42 D07  in utero embryonic development
.X.. GO:0035050 BP    26 D05  embryonic heart tube development
.X.. GO:0001756 BP    16 D05  somitogenesis
...X GO:0048706 BP    10 D05  embryonic skeletal system development
.X.. GO:0048341 BP    10 D05  paraxial mesoderm formation
...X GO:0035162 BP     8 D06  embryonic hemopoiesis
...X GO:0030326 BP     6 D05  embryonic limb morphogenesis
.X.. GO:0048302 BP     2 D10  regulation of isotype switching to IgG isotypes
..X. GO:0048295 BP     1 D11  positive regulation of isotype switching to IgE isotypes
.X.. GO:0048294 BP     0 D11  negative regulation of isotype switching to IgE isotypes
...X GO:2001234 BP    23 D08  negative regulation of apoptotic signaling pathway
..X. GO:0043524 BP     7 D08  negative regulation of neuron apoptotic process
.X.. GO:1902257 BP     0 D10  negative regulation of apoptotic process involved in outflow tract morphogenesis
...X GO:0001776 BP    37 D05  leukocyte homeostasis
.X.X GO:0006879 BP    25 D10  cellular iron ion homeostasis
.X.. GO:0036438 BP     1 D06  maintenance of lens transparency
...X GO:0045494 BP     0 D02  photoreceptor cell maintenance
...X GO:0001922 BP     0 D08  B-1 B cell homeostasis
...X GO:0060586 BP     0 D10  multicellular organismal iron ion homeostasis
.X.. GO:0008283 BP   485 D02  cell population proliferation
.X.X GO:0042127 BP   296 D04  regulation of cell population proliferation
X.XX GO:0008284 BP    97 D05  positive regulation of cell population proliferation
..X. GO:0007405 BP    20 D04  neuroblast proliferation
...X GO:0050679 BP    17 D06  positive regulation of epithelial cell proliferation
.X.. GO:0021846 BP    17 D04  cell proliferation in forebrain
...X GO:0001938 BP     2 D07  positive regulation of endothelial cell proliferation
...X GO:0060252 BP     2 D09  positive regulation of glial cell proliferation
..X. GO:0030890 BP     0 D09  positive regulation of B cell proliferation
...X GO:0045806 BP    14 D07  negative regulation of endocytosis
X... GO:0006907 BP    12 D06  pinocytosis
...X GO:0048488 BP    12 D07  synaptic vesicle endocytosis
X... GO:0042147 BP     6 D06  retrograde transport, endosome to Golgi
.X.. GO:0051260 BP     8 D07  protein homooligomerization
...X GO:0035265 BP    68 D03  organ growth
.X.. GO:0046620 BP    19 D05  regulation of organ growth
.X.. GO:0046622 BP     6 D06  positive regulation of organ growth
...X GO:0060736 BP     6 D04  prostate gland growth
...X GO:0035264 BP     4 D03  multicellular organism growth
.X.. GO:0060038 BP     4 D05  cardiac muscle cell proliferation
...X GO:0040018 BP     0 D06  positive regulation of multicellular organism growth
...X GO:0040015 BP     0 D06  negative regulation of multicellular organism growth
...X GO:0030036 BP   165 D06  actin cytoskeleton organization
...X GO:0007015 BP    80 D05  actin filament organization
...X GO:0051017 BP    17 D07  actin filament bundle assembly
...X GO:0007288 BP     0 D09  sperm axoneme assembly
...X GO:0097320 BP     3 D06  plasma membrane tubulation
.X.. GO:0097746 BP    42 D06  blood vessel diameter maintenance
...X GO:0042311 BP     9 D07  vasodilation
...X GO:0014824 BP     4 D09  artery smooth muscle contraction
...X GO:0043117 BP     3 D06  positive regulation of vascular permeability
...X GO:0098907 BP     0 D06  regulation of SA node cell action potential
.X.. GO:0045930 BP    47 D06  negative regulation of mitotic cell cycle
X... GO:0000082 BP    12 D05  G1/S transition of mitotic cell cycle
...X GO:0010971 BP     1 D09  positive regulation of G2/M transition of mitotic cell cycle
.X.. GO:0042130 BP     9 D09  negative regulation of T cell proliferation
...X GO:2000048 BP     0 D07  negative regulation of cell-cell adhesion mediated by cadherin
...X GO:0036114 BP     0 D13  medium-chain fatty-acyl-CoA catabolic process
...X GO:0036116 BP     0 D13  long-chain fatty-acyl-CoA catabolic process
.X.. GO:0007411 BP    70 D04  axon guidance
X... GO:0006886 BP   139 D06  intracellular protein transport
.X.. GO:0051224 BP    32 D07  negative regulation of protein transport
...X GO:0043001 BP     8 D08  Golgi to plasma membrane protein transport
.X.. GO:0050877 BP   254 D03  nervous system process
.X.. GO:0050884 BP     4 D05  neuromuscular process controlling posture
.X.. GO:0050885 BP     4 D05  neuromuscular process controlling balance
...X GO:0051930 BP     4 D07  regulation of sensory perception of pain
...X GO:0007601 BP     2 D06  visual perception
...X GO:1903392 BP     0 D06  negative regulation of adherens junction organization
.X.. GO:0007611 BP    23 D05  learning or memory
...X GO:0030534 BP    11 D02  adult behavior
.X.. GO:0042755 BP     8 D03  eating behavior
X..X GO:0043039 BP    47 D09  tRNA aminoacylation
...X GO:0006418 BP    43 D10  tRNA aminoacylation for protein translation
X... GO:0006419 BP     2 D11  alanyl-tRNA aminoacylation
...X GO:0006425 BP     1 D11  glutaminyl-tRNA aminoacylation
X... GO:0000002 BP     8 D06  mitochondrial genome maintenance
X... GO:0043504 BP     0 D08  mitochondrial DNA repair
...X GO:0006364 BP    65 D09  rRNA processing
.X.. GO:0007034 BP    83 D04  vacuolar transport
...X GO:0045047 BP    10 D08  protein targeting to ER
...X GO:0006614 BP     4 D10  SRP-dependent cotranslational protein targeting to membrane
.X.. GO:1903053 BP    19 D05  regulation of extracellular matrix organization
.X.. GO:0030199 BP     3 D06  collagen fibril organization
...X GO:0030501 BP     1 D07  positive regulation of bone mineralization
.X.X GO:0016020 CC  1047 D02  membrane
.X.X GO:0005886 CC   470 D03  plasma membrane
X..X GO:0016021 CC   232 D03  integral component of membrane
.XX. GO:0005887 CC   124 D04  integral component of plasma membrane
.X.. GO:0030425 CC    41 D05  dendrite
.X.. GO:0045211 CC    24 D05  postsynaptic membrane
..X. GO:0009986 CC    19 D02  cell surface
.X.. GO:0042734 CC    15 D05  presynaptic membrane
...X GO:0098833 CC     6 D02  presynaptic endocytic zone
...X GO:0005902 CC     5 D05  microvillus
X... GO:0070685 CC     2 D04  macropinocytic cup
...X GO:0001726 CC     1 D04  ruffle
...X GO:0005923 CC     1 D06  bicellular tight junction
.X.X GO:0043204 CC     0 D02  perikaryon
...X GO:0098684 CC     0 D05  photoreceptor ribbon synapse
.X.. GO:0032809 CC     0 D03  neuronal cell body membrane
...X GO:0032587 CC     0 D05  ruffle membrane
X..X GO:0005737 CC  1226 D02  cytoplasm
XX.X GO:0005829 CC    84 D02  cytosol
.X.. GO:0005938 CC    75 D03  cell cortex
XX.X GO:0048471 CC     7 D02  perinuclear region of cytoplasm
X... GO:0031234 CC     2 D04  extrinsic component of cytoplasmic side of plasma membrane
...X GO:0032991 CC  2098 D01  protein-containing complex
...X GO:0005667 CC    82 D02  transcription regulator complex
.X.. GO:0008076 CC    15 D07  voltage-gated potassium channel complex
...X GO:0048500 CC     3 D03  signal recognition particle
X... GO:0030904 CC     2 D03  retromer complex
...X GO:0017101 CC     0 D02  aminoacyl-tRNA synthetase multienzyme complex
...X GO:0005786 CC     0 D04  signal recognition particle, endoplasmic reticulum targeting
.X.. GO:0098855 CC     0 D08  HCN channel complex
XX.X GO:0043231 CC  1289 D04  intracellular membrane-bounded organelle
...X GO:0031410 CC   290 D06  cytoplasmic vesicle
...X GO:0005783 CC   106 D05  endoplasmic reticulum
X... GO:0005739 CC    91 D05  mitochondrion
.X.X GO:0005794 CC    46 D05  Golgi apparatus
X... GO:0005741 CC    11 D06  mitochondrial outer membrane
...X GO:0030137 CC     7 D08  COPI-coated vesicle
X... GO:0031901 CC     7 D06  early endosome membrane
...X GO:0032420 CC     6 D05  stereocilium
X... GO:0031313 CC     4 D04  extrinsic component of endosome membrane
X... GO:0097422 CC     0 D02  tubular endosome
.X.. GO:0032588 CC     0 D06  trans-Golgi network membrane
XX.X GO:0005634 CC   490 D05  nucleus
XX.X GO:0005654 CC    86 D02  nucleoplasm
.X.X GO:0090575 CC    45 D03  RNA polymerase II transcription regulator complex
...X GO:0005730 CC    24 D05  nucleolus
...X GO:0016607 CC     1 D03  nuclear speck
...X GO:0005884 CC     4 D06  actin filament
...X GO:0005813 CC     4 D03  centrosome
...X GO:0045095 CC     0 D07  keratin filament
...X GO:0001725 CC     0 D04  stress fiber
...X GO:0005694 CC   192 D05  chromosome
.X.. GO:0000792 CC    14 D03  heterochromatin
...X GO:0031514 CC    31 D05  motile cilium
...X GO:0036064 CC     9 D03  ciliary basal body
...X GO:0034464 CC     0 D02  BBSome
..XX GO:0005576 CC    93 D02  extracellular region
..X. GO:0097059 CC     0 D02  CNTFR-CLCF1 complex
..X. GO:0097058 CC     0 D02  CRLF-CLCF1 complex
..X. GO:0003824 MF  7614 D01  catalytic activity
X... GO:0008146 MF    68 D04  sulfotransferase activity
...X GO:0016790 MF    41 D04  thiolester hydrolase activity
...X GO:0004623 MF     2 D06  phospholipase A2 activity
X..X GO:0061630 MF     1 D05  ubiquitin protein ligase activity
X... GO:0004341 MF     0 D05  gluconolactonase activity
...X GO:0016290 MF     0 D07  palmitoyl-CoA hydrolase activity
.XXX GO:0005515 MF   921 D02  protein binding
..X. GO:0005102 MF   419 D03  signaling receptor binding
XX.. GO:0003676 MF   313 D03  nucleic acid binding
X..X GO:0000166 MF    60 D04  nucleotide binding
...X GO:0043021 MF    14 D03  ribonucleoprotein complex binding
.X.. GO:0003682 MF     8 D02  chromatin binding
XX.X GO:0046983 MF     2 D03  protein dimerization activity
.X.X GO:0042802 MF     1 D03  identical protein binding
...X GO:0000062 MF     1 D09  fatty-acyl-CoA binding
.X.. GO:1990841 MF     0 D03  promoter-specific chromatin binding
..X. GO:0097108 MF     0 D03  hedgehog family protein binding
.X.. GO:0044325 MF     0 D03  ion channel binding
.X.. GO:0050699 MF     0 D04  WW domain binding
X... GO:0020037 MF     0 D04  heme binding
X..X GO:0042803 MF     0 D04  protein homodimerization activity
...X GO:0046982 MF     0 D04  protein heterodimerization activity
...X GO:0030942 MF     0 D05  endoplasmic reticulum signal peptide binding
..X. GO:0005127 MF     0 D05  ciliary neurotrophic factor receptor binding
...X GO:0070700 MF     0 D06  BMP receptor binding
...X GO:0036042 MF     0 D10  long-chain fatty acyl-CoA binding
.X.X GO:0005216 MF   133 D05  ion channel activity
...X GO:0005230 MF    20 D08  extracellular ligand-gated ion channel activity
.X.. GO:0005249 MF    15 D09  voltage-gated potassium channel activity
.X.. GO:0005248 MF     6 D09  voltage-gated sodium channel activity
.X.. GO:0005222 MF     2 D10  intracellular cAMP-activated cation channel activity
...X GO:0004888 MF   325 D03  transmembrane signaling receptor activity
X... GO:0004930 MF   158 D04  G protein-coupled receptor activity
X... GO:0016500 MF     9 D03  protein-hormone receptor activity
X... GO:0004968 MF     0 D05  gonadotropin-releasing hormone receptor activity
...X GO:0004890 MF     0 D05  GABA-A receptor activity
...X GO:0004631 MF     0 D05  phosphomevalonate kinase activity
.X.. GO:0004563 MF     2 D06  beta-N-acetylhexosaminidase activity
X..X GO:0004812 MF    27 D04  aminoacyl-tRNA ligase activity
X... GO:0004813 MF     0 D05  alanine-tRNA ligase activity
...X GO:0004819 MF     0 D05  glutamine-tRNA ligase activity
...X GO:0003755 MF     0 D04  peptidyl-prolyl cis-trans isomerase activity
XX.X GO:0005509 MF     4 D05  calcium ion binding
XXXX GO:0008270 MF     1 D06  zinc ion binding
X..X GO:0005524 MF     0 D08  ATP binding
...X GO:0005525 MF     0 D08  GTP binding
...X GO:0019003 MF     0 D08  GDP binding
...X GO:0008312 MF     0 D05  7S RNA binding
.XXX GO:0003677 MF   130 D04  DNA binding
.X.X GO:0043565 MF    62 D05  sequence-specific DNA binding
.X.X GO:1990837 MF    51 D06  sequence-specific double-stranded DNA binding
.X.. GO:0000976 MF    34 D07  transcription cis-regulatory region binding
.X.X GO:0000977 MF    14 D08  RNA polymerase II transcription regulatory region sequence-specific DNA binding
.X.X GO:0000978 MF    11 D09  RNA polymerase II cis-regulatory region sequence-specific DNA binding
.X.. GO:0008301 MF     4 D05  DNA binding, bending
X... GO:0008297 MF     2 D08  single-stranded DNA exodeoxyribonuclease activity
...X GO:0005543 MF    21 D03  phospholipid binding
X... GO:0035091 MF    11 D04  phosphatidylinositol binding
X... GO:0030234 MF    82 D02  enzyme regulator activity
...X GO:0004252 MF     0 D05  serine-type endopeptidase activity
X..X GO:0019901 MF    15 D05  protein kinase binding
...X GO:0008092 MF    53 D03  cytoskeletal protein binding
...X GO:0003779 MF     3 D04  actin binding
...X GO:0051015 MF     1 D05  actin filament binding
X... GO:0034452 MF     0 D04  dynactin binding
.X.. GO:0008047 MF    52 D01  enzyme activator activity
...X GO:0005198 MF    42 D01  structural molecule activity
.X.. GO:0008134 MF    38 D03  transcription factor binding
...X GO:0001103 MF    16 D05  RNA polymerase II-specific DNA-binding transcription factor binding
..X. GO:0005125 MF     1 D05  cytokine activity
...X GO:0008083 MF     0 D05  growth factor activity
...X GO:0035591 MF     5 D03  signaling adaptor activity
...X GO:0005068 MF     0 D08  transmembrane receptor protein tyrosine kinase adaptor activity
...X GO:0004860 MF     8 D03  protein kinase inhibitor activity
X... GO:0030295 MF     7 D03  protein kinase activator activity
XXXX GO:0003700 MF    10 D02  DNA-binding transcription factor activity
.XXX GO:0000981 MF     3 D03  DNA-binding transcription factor activity, RNA polymerase II-specific
