Names,total,elements,,
,,GO:0016790,,
,,GO:0030225,,
,,GO:0005923,,
,,GO:0045095,,
,,GO:0042311,,
,,GO:0035591,,
,,GO:0005813,,
,,GO:0051015,,
,,GO:0001649,,
,,GO:0007601,,
,,GO:0070700,,
,,GO:0060271,,
,,GO:0021987,,
,,GO:0030036,,
,,GO:0019003,,
,,GO:0031018,,
,,GO:0006364,,
,,GO:0045494,,
,,GO:0004623,,
,,GO:0030325,,
,,GO:0033365,,
,,GO:0048706,,
,,GO:0008104,,
,,GO:0072657,,
,,GO:0001103,,
,,GO:0038108,,
,,GO:0036064,,
,,GO:0010862,,
,,GO:0048536,,
,,GO:0060736,,
,,GO:0001938,,
,,GO:0017101,,
,,GO:0050900,,
,,GO:0045669,,
,,GO:0071281,,
,,GO:0097320,,
,,GO:0050731,,
,,GO:0005068,,
,,GO:0001725,,
,,GO:0030942,,
,,GO:0016042,,
,,GO:0003198,,
,,GO:0006425,,
,,GO:0060296,,
,,GO:0035162,,
,,GO:0008312,,
,,GO:2001214,,
,,GO:0006641,,
,,GO:0048538,,
,,GO:0048565,,
,,GO:0051792,,
,,GO:0040018,,
,,GO:0045666,,
,,GO:0043491,,
,,GO:0032587,,
,,GO:0032991,,
,,GO:0098684,,
,,GO:0022008,,
,,GO:0048541,,
,,GO:0098907,,
,,GO:0005786,,
,,GO:0036114,,
,,GO:0006412,,
,,GO:0009954,,
,,GO:0014824,,
,,GO:0050851,,
,,GO:0048500,,
,,GO:0031666,,
,,GO:0036042,,
,,GO:0001776,,
,,GO:0004890,,
,,GO:0032420,,
,,GO:0001655,,
,,GO:0048854,,
,,GO:0019222,,
,,GO:0006469,,
,,GO:0045444,,
,,GO:0048537,,
,,GO:0002317,,
,,GO:0005230,,
,,GO:0031410,,
,,GO:0048568,,
,,GO:0050482,,
,,GO:0007015,,
,,GO:0051017,,
,,GO:0030851,,
,,GO:0040015,,
,,GO:0060842,,
,,GO:0006695,,
,,GO:0005884,,
,,GO:0006508,,
,,GO:0043001,,
,,GO:0005525,,
,,GO:0003755,,
,,GO:0004819,,
,,GO:0044321,,
,,GO:0031514,,
,,GO:0016290,,
,,GO:0004252,,
,,GO:0048488,,
,,GO:0060391,,
,,GO:1905515,,
,,GO:0030501,,
,,GO:0007288,,
,,GO:0010971,,
,,GO:0021756,,
,,GO:0022612,,
,,GO:0050679,,
